"competitionyearid","competitionid","year","nr_problems"
1,1,2012,12
2,1,2013,11
3,1,2014,12
4,1,2015,13
5,1,2016,13
6,1,2017,12
7,1,2018,11
8,2,2012,11
9,2,2013,12
10,2,2014,12
11,2,2015,12
12,2,2016,12
13,2,2017,12
14,2,2018,12
15,3,2012,12
16,3,2013,11
17,3,2014,11
18,3,2015,12
19,3,2016,13
20,3,2017,12
21,3,2018,13
22,4,2012,11
23,4,2013,10
24,4,2014,11
25,4,2015,11
26,4,2016,11
27,4,2017,11
28,4,2018,11
29,5,2012,10
30,5,2013,10
31,5,2014,10
32,5,2015,10
33,5,2016,11
34,5,2017,12
35,5,2018,11
36,6,2012,10
37,6,2013,10
38,6,2014,10
39,6,2015,10
40,6,2016,11
41,6,2017,11
42,6,2018,11
43,7,2012,10
44,7,2013,10
45,7,2014,11
46,7,2015,11
47,7,2016,10
48,7,2017,13
49,7,2018,13
50,8,2012,11
51,8,2013,12
52,8,2014,9
53,8,2015,11
54,8,2016,11
55,8,2017,12
56,8,2018,12
57,9,2012,9
58,9,2013,9
59,9,2014,9
60,9,2015,9
61,9,2016,10
62,9,2017,10
63,9,2018,10
64,10,2012,10
65,10,2013,9
66,10,2014,9
67,10,2015,9
68,10,2016,10
69,10,2017,10
70,10,2018,10
71,11,2012,8
72,11,2013,8
73,11,2014,8
74,11,2015,8
75,11,2016,8
76,11,2017,8
77,11,2018,8
78,12,2015,9
79,12,2016,10
80,12,2017,9
81,12,2018,11
82,13,2012,10
83,13,2013,11
84,13,2014,10
85,13,2015,10
86,13,2016,11
87,13,2017,11
88,13,2018,11
89,14,2012,9
90,14,2013,8
91,14,2014,9
92,14,2015,12
93,14,2016,12
94,14,2017,10
95,14,2018,10
96,15,2012,12
97,15,2013,13
98,15,2014,12
99,15,2015,11
100,15,2016,12
101,15,2017,13
102,15,2018,13
103,16,2012,10
104,16,2013,10
105,16,2014,11
106,16,2015,11
107,16,2016,10
108,16,2017,11
109,16,2018,10
110,17,2012,8
111,17,2013,8
112,17,2014,9
113,17,2015,9
114,17,2016,11
115,17,2017,11
116,17,2018,12
117,18,2013,10
118,18,2015,10
119,18,2016,11
120,18,2017,11
121,18,2018,11
122,19,2012,10
123,19,2013,10
124,19,2014,9
125,19,2015,10
126,19,2016,10
127,19,2017,10
128,19,2018,11
129,18,2012,10
